# V.I.C.T.O.R. - dziennik diagnostyczny
# telefon: samsung SM-A236B
# Android: 13 (SDK 33)
# aplikacja: 0.1.0-alpha-debug (1)
# dostawca AI: gemini
# transkrypcja w chmurze: false
# mikrofon okularów: true
# źródło zdjęcia: full (dzielnik 2)
06:25:15.397          ms  SESJA        start sesji
06:39:23.217          ms  WAKE         przypominam okularom o frazie wybudzenia  powód=koniec tury
06:39:24.206          ms  WAKE         okulary odpowiedziały o frazie wybudzenia  żądano=true zgłaszają=true
06:39:25.639          ms  PRZYCISK     wciśnięto  numer=1
06:39:25.867          ms  WAKE         okulary nadają dźwięk, choć żadna tura nie trwa  pakietów=14
06:39:26.208          ms  NASŁUCH      dokładam dźwięk sprzed startu nasłuchu  pakietów=16 ms=331
06:39:26.293          ms  AUDIO        zestawiony profil rozmowy do nasłuchu  ms=18 mikrofonOkularów=true
06:39:26.299      +0 ms  SESJA        --- TURA f457 ---  źródło=OKULARY
06:39:26.300      +2 ms  NASŁUCH      start  strumieńBLE=true sco=true mikrofonBT=true
06:39:30.149   +3850 ms  NASŁUCH      koniec  ms=3850 telefonUsłyszał=kalendarzu
06:39:30.365   +4066 ms  NASŁUCH      nagranie z okularów  jest=true sekund=0.7135 pakietów=36 rozkodowanych=36 odrzuconych=0 przesunięcie=6 ramka=-1
06:39:31.301   +5003 ms  TRANSKRYPCJA z nagrania okularów  ms=933 droga=Nasłuch telefonu
06:39:31.306   +5007 ms  SESJA        pytanie  tekst=kalendarzu wymuszonyObraz=false
06:39:31.319   +5020 ms  ZDJĘCIE      bez zdjęcia  okularyGotowe=true wzorzecWidzenia=false wymuszone=false zNagrania=false
06:39:31.340   +5041 ms  AUDIO        mowa przez A2DP - bez profilu rozmowy  a2dp=true scoStoi=false
06:39:32.849   +6551 ms  KONTEKST     zebrany  ms=1497 pamięć=true kalendarz=true poczta=true pogoda=true lokalizacja=false limitCzasu=false
06:39:32.885   +6587 ms  MODEL        wysyłam pytanie  dostawca=gemini model=gemini-3.8-flash próba=1 zdjęć=0 znakówPromptu=9442
06:39:42.725  +16427 ms  MODEL        PIERWSZY FRAGMENT odpowiedzi  ms=9843
06:39:42.922  +16624 ms  MODEL        koniec odpowiedzi (378 znaków, 8504 tokenów)  ms=10040
06:39:58.787  +32489 ms  MOWA         koniec wypowiedzi  ms=15840
06:39:59.018  +32719 ms  SESJA        --- KONIEC TURY f457: odpowiedziano ---
06:39:59.049          ms  WAKE         przypominam okularom o frazie wybudzenia  powód=koniec tury
06:39:59.408          ms  BLE          nieobsługiwana ramka notify  typ=0x12 ramka=BC 73 0E 00 C1 9C 12 01 00 10 10 02 00 0F 0F 03 00 10 10 02 sztuk=7 pierwsza=false
06:39:59.444          ms  WAKE         okulary odpowiedziały o frazie wybudzenia  żądano=true zgłaszają=true
06:40:29.100          ms  PRZYCISK     wciśnięto  numer=1
